article_id,expr_type,value,char_offset
878.txt,interval," Thursday,",558
878.txt,interval, each year,637
878.txt,interval, three years,726
878.txt,interval," Sunday,",891
878.txt,interval," Monday,",1383
878.txt,interval, Monday.,1862
878.txt,interval, this year,2536
878.txt,interval, one day,2782
878.txt,weekday,next Monday,1858
878.txt,number of years,each year ,638
878.txt,number of years,three years.,727
878.txt,number of years,this year ,2537
878.txt,month,May,869
491.txt,interval, Friday.,296
491.txt,interval, Wednesday.,462
491.txt,interval, Friday.,1433
1373.txt,month,May,1620
498.txt,interval, third week.,126
498.txt,interval, three days,876
498.txt,interval, the week,1022
882.txt,interval, Today,1033
882.txt,interval, first day,1517
882.txt,interval, New Year.,1686
882.txt,interval," Thursday,",2418
882.txt,month,September,2201
1604.txt,interval," you today,",1178
1604.txt,interval, last month.,1934
1604.txt,month,December,916
1436.txt,interval, second year,414
1436.txt,interval, this year,979
1436.txt,number of years,second year ,415
1436.txt,year, 2004,944
152.txt,interval, last year,551
152.txt,interval," this year,",631
152.txt,number of years,last year ,552
152.txt,year, 1990s,692
152.txt,year, 1991,1066
152.txt,month,October,318
509.txt,year, 2002,490
509.txt,month,February,394
509.txt,month,May,1012
1198.txt,interval," Sunday,",132
1198.txt,interval, Saturday.,317
1572.txt,interval, this year,1957
1572.txt,interval, this year.,2204
1572.txt,interval," every day,",3185
1572.txt,interval, a year.,3219
1572.txt,interval, 12 months,3550
1572.txt,interval, this year,3674
1572.txt,year, 2005,366
1572.txt,year, 2005,485
1572.txt,month,January,562
1572.txt,month,February,3753
1607.txt,interval, launch day,278
1607.txt,month,November,307
1607.txt,month,December,353
741.txt,interval, Monday.,800
741.txt,interval, country today.,1565
741.txt,interval, Monday.,1693
741.txt,interval, his year,1880
741.txt,year, 1997,3253
741.txt,year, 1906,3298
92.txt,interval, three years,616
92.txt,interval, four years,764
92.txt,interval, 24 years,1097
92.txt,interval, a year,1228
92.txt,interval, a year,1761
92.txt,number of years,three years.,617
92.txt,number of years,"four years,",765
92.txt,number of years,24 years.,1098
92.txt,number of years,a year ,1229
92.txt,number of years,a year ,1762
92.txt,year, 2005,263
92.txt,year, 2005,885
92.txt,year, 2006,902
92.txt,year, 2004,955
92.txt,year, 2008,1031
92.txt,year, 2000,1808
1095.txt,interval, the season.,123
1095.txt,interval, Friday.,926
1095.txt,interval, few years,1128
1095.txt,number of years,few years.,1129
1164.txt,interval,"
Saturday,",47
1164.txt,interval, last year,146
1164.txt,interval, 80 minutes,815
1164.txt,interval," a year,",1322
1164.txt,number of years,last year ,147
1164.txt,dd months yyyy,"26 February

1400",58
128.txt,interval, last year.,1390
128.txt,interval, last year,2148
128.txt,interval, this month,2255
128.txt,number of years,last year ,2149
128.txt,year, 2002,2048
1536.txt,interval, of months,2718
1536.txt,interval, coming year.,3813
516.txt,interval, first week.,741
516.txt,interval, the year,791
516.txt,interval, the year.,814
516.txt,Season, Spring,326
516.txt,number of years,the year ,792
516.txt,dd months yyyy, January 1985,635
516.txt,dd months yyyy,7 March 1985,698
1407.txt,interval, six years,685
1407.txt,interval, last year,1564
1407.txt,interval, last year,1683
1407.txt,number of years,six years ,686
1407.txt,number of years,last year ,1684
1407.txt,month,January,269
45.txt,interval, three days,986
45.txt,interval, a day.,2054
45.txt,month,January,548
45.txt,month,January,978
45.txt,month,November,1848
1675.txt,interval, for today,1267
1675.txt,year, 2005,2384
1626.txt,interval, few weeks,200
1626.txt,interval," this week,",859
172.txt,interval, three months,239
172.txt,interval, a season,268
172.txt,interval," full year,",431
172.txt,interval," Friday,",871
172.txt,interval, New Year.,1138
172.txt,year, 2004,83
172.txt,year,early 2002,390
172.txt,year, 2005,760
172.txt,month,December,256
172.txt,month,December,911
172.txt,month,January,1186
225.txt,interval, the year,334
225.txt,interval, a year,372
225.txt,interval, 12 months,549
225.txt,interval, a year,707
225.txt,interval, the year,763
225.txt,interval, the year,862
225.txt,interval, coming year,969
225.txt,number of years,the year ,335
225.txt,number of years,a year ,373
225.txt,number of years,a year ,708
225.txt,number of years,the year ,764
225.txt,number of years,the year ,863
225.txt,number of years,coming year ,970
225.txt,year, 2004,76
225.txt,year, 2003,244
225.txt,year, 2004,263
225.txt,year, 2004,429
225.txt,year, 2003,660
225.txt,year, 2005,1261
225.txt,month,December,566
225.txt,month,January,883
1054.txt,interval, five months,336
1054.txt,interval, a month.,1623
1054.txt,interval," Thursday,",1708
1054.txt,year, 2000,852
1054.txt,month,August,1062
1054.txt,month,August,1380
1054.txt,month,February,1828
971.txt,interval, after days,243
277.txt,interval, recent weeks,1506
277.txt,interval, next year.,1719
277.txt,month,October,523
502.txt,year, 2004,20
502.txt,year, 2004,169
502.txt,month,July,541
502.txt,month,February,1716
1765.txt,interval, action day,14
1765.txt,interval,"
The month",144
1765.txt,interval, Arash Day,280
1765.txt,interval, this day,516
1765.txt,interval, Arash Day,776
1765.txt,interval, Arash Day,1114
1765.txt,interval, a month,2030
1765.txt,interval, them tomorrow,3359
1765.txt,interval, five months,3524
1765.txt,interval, in minutes,3752
1765.txt,month,February,247
1098.txt,interval, last year.,568
1098.txt,interval, the day,1135
1098.txt,interval, few days,1163
1098.txt,month,May,1153
1565.txt,interval, Saturday.,109
1565.txt,interval, few weeks,237
1565.txt,interval, two days,1702
1565.txt,interval, few months,1911
1565.txt,interval, this month,1968
1565.txt,month,March,1557
1565.txt,month,March,1864
425.txt,interval, the years,1119
425.txt,interval, Sunday.,1385
425.txt,number of years,the years ,1120
556.txt,interval, last year,238
556.txt,interval, trade week,320
556.txt,interval, last year.,504
556.txt,interval,"
Last year",516
556.txt,interval, good year,1675
556.txt,number of years,last year ,239
556.txt,number of years,Last year ,517
556.txt,number of years,good year ,1676
556.txt,year, 2004,93
556.txt,year, 2003,297
556.txt,year, 2003,493
556.txt,year, 2004,1463
556.txt,year, 2003,1650
556.txt,year, 2003,1852
556.txt,year, 2004,1987
556.txt,year, 2005,2262
556.txt,month,September,2298
556.txt,month,July,2508
1220.txt,interval, of days,1460
1220.txt,interval, few days,1596
1220.txt,interval, 70 days,1616
1220.txt,interval, 21 days,1707
1220.txt,interval, 91 days,1774
1220.txt,month,July,1809
6.txt,interval, five hours,540
6.txt,interval, this month,954
6.txt,interval, several months,1313
6.txt,year, 2003,354
6.txt,month,January,597
6.txt,month,September,1415
317.txt,interval, three months,80
317.txt,interval, three month,239
317.txt,interval, two years,359
317.txt,interval, previous years,1426
317.txt,interval, a year.,1567
317.txt,number of years,two years.,360
317.txt,number of years,previous years.,1427
317.txt,year, 2004,96
317.txt,year, 2004,1689
317.txt,year, 2005,1909
829.txt,interval, every year,207
829.txt,interval, every year.,734
829.txt,interval, every year,1009
829.txt,number of years,every year ,208
829.txt,number of years,every year ,1010
790.txt,interval, Wednesday.,599
790.txt,interval, Friday.,1375
790.txt,interval, 50 years,1834
790.txt,number of years,50 years.,1835
836.txt,interval, Monday.,501
836.txt,interval, next week.,979
836.txt,interval, the day,1430
836.txt,weekday,next Monday,497
946.txt,numbers-time-deictic,six years ago,396
946.txt,interval, past year.,256
946.txt,interval, six years,395
946.txt,interval, 62 months,645
946.txt,interval, three months,697
946.txt,interval, This year,1383
946.txt,interval, last year,1433
946.txt,interval, 12 months,1906
1380.txt,interval, the day,326
1380.txt,interval, other day,1843
1380.txt,year, 2005,785
1737.txt,interval, six months,173
1737.txt,interval, three years,856
1737.txt,number of years,three years.,857
156.txt,interval, six months,1536
156.txt,immediate time,immediately,624
156.txt,year, 2005,74
156.txt,year, 2006,276
156.txt,year, 2005,1198
156.txt,month,January,795
156.txt,month,December,908
156.txt,month,December,1451
1233.txt,interval, last year,370
1233.txt,interval, last year,845
1233.txt,interval, the years,1025
1233.txt,interval, last year,1121
1233.txt,number of years,last year ,371
1233.txt,number of years,the years.,1026
1233.txt,number of years,last year ,1122
1233.txt,year, 2003,1216
1233.txt,month,January,782
